parent,child
1,1522
4,1531
1,154046
5,154288
4,1547
182,1582
4,1584
19,1660
2,166486
16,1680
16,1681
16,1686
16,1689
22,187327
1,208479
3,214856
16,216816
60,2173
60,2317
11,239935
0,246787
4,28025
16,28026
13,28037
14,28116
3,28118
3,28123
1,292800
13,29391
17,29466
2,301301
3,328813
3,328814
0,329854
4,33035
4,33038
14,357276
14,371601
4,39483
2,39485
4,39488
17,39777
17,39778
19,43675
18,446660
3,454155
18,471189
14,47678
24,562
12,573
3,626932
4,649756
17,729
16,74426
14,817
14,818
14,820
14,821
14,823
18,84112
13,84135
5,851
4,853
10,876
10,901
22,905
AcetateProductionexport,100886
ButyrateProductionexport,100886
CellobioseConsumptionimport,100886
D-FructoseFructoseConsumptionimport,100886
D-GalactoseConsumptionimport,100886
D-GlucoseGlucoseConsumptionimport,100886
D-MannoseMannoseConsumptionimport,100886
Isobutyrate2-MethylpropanoicacidProductionexport,100886
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,100886
LactoseConsumptionimport,100886
MaltoseConsumptionimport,100886
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,100886
SucroseConsumptionimport,100886
AcetateProductionexport,106588
SuccinateProductionexport,106588
AcetateProductionexport,113107
CO2Productionexport,113107
D-MannitolMannitolConsumptionimport,113107
EthanolProductionexport,113107
H2O2Productionexport,113107
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,113107
LactoseConsumptionimport,113107
NH3AmmoniaNH4AmmoniumProductionexport,113107
PantothenicacidVitaminB5PantothenateConsumptionimport,113107
AcetateConsumptionimportproductionexport,116085
ButyrateProductionexport,116085
D-FructoseFructoseConsumptionimport,116085
D-MannitolMannitolConsumptionimport,116085
H2HydrogenProductionexport,116085
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimportproductionexport,116085
PropanoatePropionateProductionexport,116085
BiotinVitaminB7Consumptionimport,1245
CO2Productionexport,1245
D-FructoseFructoseConsumptionimport,1245
D-GlucoseGlucoseConsumptionimport,1245
EthanolProductionexport,1245
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1245
LactoseConsumptionimport,1245
NiacinVitaminB3NicotinicacidNicotinateNicotinamideVitaminB3Consumptionimport,1245
PantothenicacidVitaminB5PantothenateConsumptionimport,1245
PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Consumptionimport,1245
RiboflavinVitaminB2Consumptionimportproductionexport,1245
ThiamineVitaminB1ThiaminConsumptionimport,1245
2-methylbutyrate2-methylbutanoicacidConsumptionimport,1264
4-Aminobenzoatepara-aminoBenzoicacidConsumptionimport,1264
AcetateProductionexport,1264
alpha-LinolenicacidOmega-3fattyacidConsumptionimport,1264
BiotinVitaminB7Consumptionimport,1264
CellobioseConsumptionimport,1264
CelluloseBeta-D-glucanMacromoleculedegradation,1264
CO2Productionexport,1264
D-GlucoseGlucoseConsumptionimport,1264
D-PsicoseConsumptionimport,1264
EthanolProductionexport,1264
H2HydrogenProductionexport,1264
HemicelluloseMacromoleculedegradation,1264
Isobutyrate2-MethylpropanoicacidConsumptionimport,1264
L-AsparagineAsparagineConsumptionimport,1264
L-GlutamineD-GlutamineGlutamineConsumptionimport,1264
L-TryptophanTryptophanConsumptionimport,1264
LinoleicacidOmega-6fattyacidConsumptionimport,1264
NH3AmmoniaNH4AmmoniumConsumptionimport,1264
PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Consumptionimport,1264
AcetateProductionexport,1302
CO2Productionexport,1302
D-GlucoseGlucoseConsumptionimport,1302
D-MannitolMannitolConsumptionimport,1302
EthanolProductionexport,1302
H2O2Productionexport,1302
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1302
LactoseConsumptionimport,1302
MaltoseConsumptionimport,1302
NH3AmmoniaNH4AmmoniumProductionexport,1302
PantothenicacidVitaminB5PantothenateConsumptionimport,1302
AcetateProductionexport,1304
BiotinVitaminB7Consumptionimport,1304
CO2Productionexport,1304
D-FructoseFructoseConsumptionimport,1304
D-MannitolMannitolConsumptionimport,1304
DNARNAPolynucleotideMacromoleculedegradation,1304
EthanolProductionexport,1304
H2O2Productionexport,1304
L-ArginineArginineConsumptionimport,1304
L-AspartateAspartateD-AspartateConsumptionimport,1304
L-GlutamateL-GlutamicacidGlutamateD-GlutamateConsumptionimport,1304
L-GlycineGlycineConsumptionimport,1304
L-HistidineHistidineConsumptionimport,1304
L-IsoleucineIsoleucineConsumptionimport,1304
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1304
L-LeucineLeucineConsumptionimport,1304
L-LysineLysineD-LysineConsumptionimport,1304
L-MethionineD-MethionineConsumptionimport,1304
L-PhenylalaninePhenylalanineD-PhenylalanineConsumptionimport,1304
L-TyrosineTyrosineConsumptionimport,1304
L-ValineValineD-ValineConsumptionimport,1304
LactoseConsumptionimport,1304
NH3AmmoniaNH4AmmoniumProductionexport,1304
NiacinVitaminB3NicotinicacidNicotinateNicotinamideVitaminB3Consumptionimport,1304
PantothenicacidVitaminB5PantothenateConsumptionimport,1304
RiboflavinVitaminB2Consumptionimport,1304
ThiamineVitaminB1ThiaminConsumptionimport,1304
AcetateProductionexport,1305
CO2Productionexport,1305
D-MannitolMannitolConsumptionimport,1305
EthanolProductionexport,1305
H2O2Productionexport,1305
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1305
LactoseConsumptionimport,1305
MucinMucusGlycoproteinMacromoleculedegradation,1305
NH3AmmoniaNH4AmmoniumProductionexport,1305
PantothenicacidVitaminB5PantothenateConsumptionimport,1305
AcetateProductionexport,1308
CO2Productionexport,1308
D-MannitolMannitolConsumptionimport,1308
EthanolProductionexport,1308
FolicacidFolateVitaminB9Productionexport,1308
H2O2Productionexport,1308
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1308
LactoseConsumptionimport,1308
NH3AmmoniaNH4AmmoniumProductionexport,1308
PantothenicacidVitaminB5PantothenateConsumptionimport,1308
PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Productionexport,1308
RiboflavinVitaminB2Consumptionimport,1308
ThiamineVitaminB1ThiaminConsumptionimportproductionexport,1308
AcetateProductionexport,1309
CO2Productionexport,1309
D-GlucoseGlucoseConsumptionimport,1309
D-MannitolMannitolConsumptionimport,1309
EthanolProductionexport,1309
FolicacidFolateVitaminB9Consumptionimport,1309
H2O2Productionexport,1309
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1309
LactoseConsumptionimport,1309
MucinMucusGlycoproteinMacromoleculedegradation,1309
NH3AmmoniaNH4AmmoniumProductionexport,1309
PantothenicacidVitaminB5PantothenateConsumptionimport,1309
SucroseConsumptionimport,1309
XylitolConsumptionimport,1309
AcetateProductionexport,1318
CholineConsumptionimport,1318
CO2Productionexport,1318
D-FructoseFructoseConsumptionimport,1318
D-MannitolMannitolConsumptionimport,1318
EthanolProductionexport,1318
H2O2Productionexport,1318
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1318
LactoseConsumptionimport,1318
NH3AmmoniaNH4AmmoniumProductionexport,1318
PantothenicacidVitaminB5PantothenateConsumptionimport,1318
TrimethylamineProductionexport,1318
AcetateProductionexport,1328
CO2Productionexport,1328
D-MannitolMannitolConsumptionimport,1328
DNARNAPolynucleotideMacromoleculedegradation,1328
EthanolProductionexport,1328
H2O2Productionexport,1328
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1328
LactoseConsumptionimport,1328
MucinMucusGlycoproteinMacromoleculedegradation,1328
NH3AmmoniaNH4AmmoniumProductionexport,1328
PantothenicacidVitaminB5PantothenateConsumptionimport,1328
AcetateProductionexport,1343
CO2Productionexport,1343
D-FructoseFructoseConsumptionimport,1343
D-MannitolMannitolConsumptionimport,1343
EthanolProductionexport,1343
H2O2Productionexport,1343
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1343
LactoseConsumptionimport,1343
NH3AmmoniaNH4AmmoniumProductionexport,1343
PantothenicacidVitaminB5PantothenateConsumptionimport,1343
AcetateProductionexport,1358
ChitinMacromoleculedegradation,1358
EthanolProductionexport,1358
FolicacidFolateVitaminB9Consumptionimportproductionexport,1358
FormateProductionexport,1358
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1358
MenaquinoneVitaminK2Productionexport,1358
PantothenicacidVitaminB5PantothenateConsumptionimport,1358
PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Consumptionimport,1358
RiboflavinVitaminB2Consumptionimportproductionexport,1358
ThiamineVitaminB1ThiaminConsumptionimport,1358
XOSXylooligosaccharideConsumptionimport,1358
AcetateProductionexport,1584
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimport,1584
CO2Productionexport,1584
D-FructoseFructoseConsumptionimport,1584
D-MannitolMannitolConsumptionimport,1584
EthanolProductionexport,1584
GlycerolConsumptionimport,1584
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1584
LactoseConsumptionimport,1584
PantothenicacidVitaminB5PantothenateConsumptionimport,1584
PolypeptideMacromoleculedegradation,1584
PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Consumptionimport,1584
RiboflavinVitaminB2Consumptionimport,1584
AcetateProductionexport,1596
ChenodeoxycholicacidChenodeoxycholateProductionexport,1596
CholicacidCholateProductionexport,1596
CO2Productionexport,1596
D-FructoseFructoseConsumptionimport,1596
D-GlucoseGlucoseConsumptionimport,1596
D-MannitolMannitolConsumptionimport,1596
DeoxycholicacidProductionexport,1596
EthanolProductionexport,1596
FolicacidFolateVitaminB9Consumptionimport,1596
GlycochenodeoxycholateConsumptionimport,1596
GlycocholateConsumptionimport,1596
GlycodeoxycholateConsumptionimport,1596
GlycolithocholateConsumptionimport,1596
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1596
LactoseConsumptionimport,1596
LithocholicacidProductionexport,1596
MucinMucusGlycoproteinMacromoleculedegradation,1596
PantothenicacidVitaminB5PantothenateConsumptionimport,1596
TaurochenodeoxycholateConsumptionimport,1596
TaurocholateConsumptionimport,1596
TaurodeoxycholateConsumptionimport,1596
TaurolithocholateConsumptionimport,1596
AcetateConsumptionimport,166486
ButyrateProductionexport,166486
CellobioseConsumptionimport,166486
CO2Productionexport,166486
D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport,166486
D-FructoseFructoseConsumptionimport,166486
D-GlucoseGlucoseConsumptionimport,166486
D-XyloseXyloseConsumptionimport,166486
FormateProductionexport,166486
FOSFructooligosaccharideConsumptionimport,166486
FructanInulinLevanMacromoleculedegradation,166486
H2HydrogenProductionexport,166486
HemicelluloseMacromoleculedegradation,166486
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimportproductionexport,166486
LinoleicacidOmega-6fattyacidConsumptionimport,166486
MaltoseConsumptionimport,166486
MelibioseConsumptionimport,166486
PropanoatePropionateProductionexport,166486
RaffinoseConsumptionimport,166486
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,166486
SucroseConsumptionimport,166486
XOSXylooligosaccharideConsumptionimport,166486
4-AminobutyrateGABAProductionexport,1680
AcetateProductionexport,1680
BiotinVitaminB7Productionexport,1680
CellobioseConsumptionimport,1680
ChenodeoxycholicacidChenodeoxycholateProductionexport,1680
CholicacidCholateProductionexport,1680
D-FructoseFructoseConsumptionimport,1680
D-GalactoseConsumptionimport,1680
D-GlucoseGlucoseConsumptionimport,1680
D-PsicoseConsumptionimport,1680
DeoxycholicacidProductionexport,1680
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,1680
DimethylamineProductionexport,1680
EthanolProductionexport,1680
FolicacidFolateVitaminB9Productionexport,1680
FormateProductionexport,1680
FOSFructooligosaccharideConsumptionimport,1680
FructanInulinLevanMacromoleculedegradation,1680
GlycochenodeoxycholateConsumptionimport,1680
GlycocholateConsumptionimport,1680
GlycodeoxycholateConsumptionimport,1680
GlycolithocholateConsumptionimport,1680
HemicelluloseMacromoleculedegradation,1680
IsomaltoseConsumptionimport,1680
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1680
LactoseConsumptionimport,1680
LithocholicacidProductionexport,1680
MaltoseConsumptionimport,1680
MenaquinoneVitaminK2Consumptionimport,1680
MethylamineMonomethylamineProductionexport,1680
PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Productionexport,1680
RaffinoseConsumptionimport,1680
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,1680
SuccinateProductionexport,1680
TaurochenodeoxycholateConsumptionimport,1680
TaurocholateConsumptionimport,1680
TaurodeoxycholateConsumptionimport,1680
TaurolithocholateConsumptionimport,1680
UreaConsumptionimport,1680
XOSXylooligosaccharideConsumptionimport,1680
AcetateProductionexport,1681
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIProductionexport,1681
BiotinVitaminB7Productionexport,1681
ChenodeoxycholicacidChenodeoxycholateProductionexport,1681
CholicacidCholateProductionexport,1681
D-FructoseFructoseConsumptionimport,1681
D-GalactoseConsumptionimport,1681
D-GlucosamineGlucosamineConsumptionimport,1681
D-GlucoseGlucoseConsumptionimport,1681
D-MannitolMannitolConsumptionimport,1681
D-PsicoseConsumptionimport,1681
DeoxycholicacidProductionexport,1681
DimethylamineProductionexport,1681
EthanolProductionexport,1681
FolicacidFolateVitaminB9Productionexport,1681
FormateProductionexport,1681
FOSFructooligosaccharideConsumptionimport,1681
GlycochenodeoxycholateConsumptionimport,1681
GlycocholateConsumptionimport,1681
GlycodeoxycholateConsumptionimport,1681
GlycolithocholateConsumptionimport,1681
HemicelluloseMacromoleculedegradation,1681
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1681
LactoseConsumptionimport,1681
LithocholicacidProductionexport,1681
MenaquinoneVitaminK2Consumptionimport,1681
MethylamineMonomethylamineProductionexport,1681
MucinMucusGlycoproteinMacromoleculedegradation,1681
PectinMacromoleculedegradation,1681
PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Productionexport,1681
RaffinoseConsumptionimport,1681
RiboflavinVitaminB2Consumptionimport,1681
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,1681
SuccinateProductionexport,1681
TaurochenodeoxycholateConsumptionimport,1681
TaurocholateConsumptionimport,1681
TaurodeoxycholateConsumptionimport,1681
TaurolithocholateConsumptionimport,1681
ThiamineVitaminB1ThiaminProductionexport,1681
UreaConsumptionimport,1681
AcetateProductionexport,1686
D-FructoseFructoseConsumptionimport,1686
D-GalactosamineGalactosamineConsumptionimport,1686
D-GalactoseConsumptionimport,1686
D-GlucosamineGlucosamineConsumptionimport,1686
D-PsicoseConsumptionimport,1686
EthanolProductionexport,1686
FolicacidFolateVitaminB9Productionexport,1686
FormateProductionexport,1686
HemicelluloseMacromoleculedegradation,1686
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1686
LactoseConsumptionimport,1686
PectinMacromoleculedegradation,1686
RaffinoseConsumptionimport,1686
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,1686
SuccinateProductionexport,1686
UreaConsumptionimport,1686
4-AminobutyrateGABAProductionexport,1689
AcetateProductionexport,1689
D-FructoseFructoseConsumptionimport,1689
D-GalactosamineGalactosamineConsumptionimport,1689
D-GalactoseConsumptionimport,1689
D-GlucosamineGlucosamineConsumptionimport,1689
D-PsicoseConsumptionimport,1689
EthanolProductionexport,1689
FolicacidFolateVitaminB9Productionexport,1689
FormateProductionexport,1689
HemicelluloseMacromoleculedegradation,1689
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1689
LactoseConsumptionimport,1689
MenaquinoneVitaminK2Consumptionimport,1689
RaffinoseConsumptionimport,1689
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,1689
SuccinateProductionexport,1689
UreaConsumptionimport,1689
2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateConsumptionimport,169435
AcetateProductionexport,169435
ButyrateProductionexport,169435
CellobioseConsumptionimport,169435
D-FructoseFructoseConsumptionimport,169435
D-GalactoseConsumptionimport,169435
D-GlucoseGlucoseConsumptionimport,169435
D-MannoseMannoseConsumptionimport,169435
D-TuranoseConsumptionimport,169435
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,169435
H2SHS-Productionexport,169435
IndoleProductionexport,169435
InosineConsumptionimport,169435
L-MalateS-MalateL-MalicacidMalateD-MalateR-MalateConsumptionimport,169435
L-SerineSerineD-SerineConsumptionimport,169435
L-ValineValineD-ValineConsumptionimport,169435
MaltoseConsumptionimport,169435
N-Acetyl-D-GlucosamineN-AcetylglucosamineConsumptionimport,169435
N-Acetyl-D-mannosamineConsumptionimport,169435
N-AcetylneuraminicacidN-acetylneuraminateNeu5AcSialicacidConsumptionimport,169435
PyruvateConsumptionimport,169435
ThymidineConsumptionimport,169435
TrehaloseConsumptionimport,169435
UridineConsumptionimport,169435
AcetateConsumptionimport,2173
BicarbonateHCO3-H2CO3CarbonicacidCarbonateConsumptionimport,2173
CO2Consumptionimport,2173
EthanolConsumptionimport,2173
FormateConsumptionimport,2173
H2HydrogenConsumptionimport,2173
MethaneCH4Productionexport,2173
MethanolConsumptionimport,2173
NH3AmmoniaNH4AmmoniumConsumptionimport,2173
AcetateProductionexport,218538
PropanoatePropionateProductionexport,218538
AcetateConsumptionimport,2317
DimethylamineConsumptionimport,2317
H2HydrogenConsumptionimport,2317
MethaneCH4Productionexport,2317
MethanolConsumptionimport,2317
MethylamineMonomethylamineConsumptionimport,2317
TrimethylamineConsumptionimport,2317
MucinMucusGlycoproteinMacromoleculedegradation,239935
AcetateProductionexport,246787
ButyrateProductionexport,246787
CelluloseBeta-D-glucanMacromoleculedegradation,246787
CO2Consumptionimportproductionexport,246787
D-FructoseFructoseConsumptionimport,246787
H2HydrogenProductionexport,246787
HemicelluloseMacromoleculedegradation,246787
NH3AmmoniaNH4AmmoniumConsumptionimport,246787
PropanoatePropionateProductionexport,246787
SuccinateProductionexport,246787
AcetateProductionexport,28025
ChenodeoxycholicacidChenodeoxycholateProductionexport,28025
CholicacidCholateProductionexport,28025
D-FructoseFructoseConsumptionimport,28025
D-GalactosamineGalactosamineConsumptionimport,28025
D-GalactoseConsumptionimport,28025
D-GlucosamineGlucosamineConsumptionimport,28025
D-GlucoseGlucoseConsumptionimport,28025
D-PsicoseConsumptionimport,28025
DeoxycholicacidProductionexport,28025
EthanolProductionexport,28025
FolicacidFolateVitaminB9Consumptionimportproductionexport,28025
FormateProductionexport,28025
FOSFructooligosaccharideConsumptionimport,28025
GlycochenodeoxycholateConsumptionimport,28025
GlycocholateConsumptionimport,28025
GlycodeoxycholateConsumptionimport,28025
GlycolithocholateConsumptionimport,28025
HemicelluloseMacromoleculedegradation,28025
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,28025
LactoseConsumptionimport,28025
LithocholicacidProductionexport,28025
RaffinoseConsumptionimport,28025
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,28025
SuccinateProductionexport,28025
TaurochenodeoxycholateConsumptionimport,28025
TaurocholateConsumptionimport,28025
TaurodeoxycholateConsumptionimport,28025
TaurolithocholateConsumptionimport,28025
UreaConsumptionimport,28025
AcetateProductionexport,28026
D-FructoseFructoseConsumptionimport,28026
D-GalactoseConsumptionimport,28026
D-GlucosamineGlucosamineConsumptionimport,28026
D-PsicoseConsumptionimport,28026
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,28026
EthanolProductionexport,28026
FolicacidFolateVitaminB9Productionexport,28026
FormateProductionexport,28026
FOSFructooligosaccharideConsumptionimport,28026
HemicelluloseMacromoleculedegradation,28026
L-FucoseConsumptionimport,28026
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,28026
LactoseConsumptionimport,28026
LinoleicacidOmega-6fattyacidProductionexport,28026
RaffinoseConsumptionimport,28026
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,28026
SuccinateProductionexport,28026
UreaConsumptionimport,28026
AcetateProductionexport,28037
CO2Productionexport,28037
D-MannitolMannitolConsumptionimport,28037
EthanolProductionexport,28037
H2O2Productionexport,28037
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,28037
LactoseConsumptionimport,28037
NH3AmmoniaNH4AmmoniumProductionexport,28037
PantothenicacidVitaminB5PantothenateConsumptionimport,28037
AcetateProductionexport,28111
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimport,28111
ButyrateProductionexport,28111
CO2Consumptionimportproductionexport,28111
D-FructoseFructoseConsumptionimport,28111
D-GalactoseConsumptionimport,28111
D-GalacturonateConsumptionimport,28111
D-GlucosamineGlucosamineConsumptionimport,28111
D-GlucuronicacidD-GlucuronateConsumptionimport,28111
H2HydrogenProductionexport,28111
HemicelluloseMacromoleculedegradation,28111
NH3AmmoniaNH4AmmoniumConsumptionimport,28111
PropanoatePropionateProductionexport,28111
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,28111
SuccinateProductionexport,28111
AcetateProductionexport,28116
AlginateMacromoleculedegradation,28116
ArabinogalactanMacromoleculedegradation,28116
ButylamineProductionexport,28116
ButyrateProductionexport,28116
CellobioseConsumptionimport,28116
Chondroitin4-sulfateChondroitin6-sulfateMacromoleculedegradation,28116
CO2Consumptionimportproductionexport,28116
D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport,28116
D-FructoseFructoseConsumptionimport,28116
D-GalactoseConsumptionimport,28116
D-GalacturonateConsumptionimport,28116
D-GlucosamineGlucosamineConsumptionimport,28116
D-GlucoseGlucoseConsumptionimport,28116
D-GlucuronicacidD-GlucuronateConsumptionimport,28116
D-MannoseMannoseConsumptionimport,28116
D-PsicoseConsumptionimport,28116
D-RiboseRiboseConsumptionimport,28116
D-XyloseXyloseConsumptionimport,28116
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,28116
DimethylamineProductionexport,28116
FOSFructooligosaccharideConsumptionimport,28116
H2HydrogenProductionexport,28116
HemicelluloseMacromoleculedegradation,28116
HyaluronanHyaluronateHyaluronicacidMacromoleculedegradation,28116
Isovalerate3-MethylbutanoicacidProductionexport,28116
L-FucoseConsumptionimport,28116
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,28116
L-RhamnoseRhamnoseD-RhamnoseConsumptionimport,28116
MenaquinoneVitaminK2Productionexport,28116
N-Acetyl-D-GlucosamineN-AcetylglucosamineConsumptionimport,28116
N-AcetylgalactosamineN-Acetyl-D-galactosamineConsumptionimport,28116
NH3AmmoniaNH4AmmoniumConsumptionimportproductionexport,28116
PectinMacromoleculedegradation,28116
PhenylethylamineProductionexport,28116
PropanoatePropionateProductionexport,28116
PutrescineProductionexport,28116
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,28116
SuccinateProductionexport,28116
TrehaloseConsumptionimport,28116
TyramineProductionexport,28116
H2HydrogenProductionexport,28117
IndoleProductionexport,28117
Isobutyrate2-MethylpropanoicacidProductionexport,28117
Isovalerate3-MethylbutanoicacidProductionexport,28117
PropanoatePropionateProductionexport,28117
SuccinateProductionexport,28117
AcetateProductionexport,28118
ButyrateProductionexport,28118
D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport,28118
D-FructoseFructoseConsumptionimport,28118
D-GalactoseConsumptionimport,28118
D-GlucoseGlucoseConsumptionimport,28118
D-MannoseMannoseConsumptionimport,28118
H2HydrogenProductionexport,28118
H2SHS-Productionexport,28118
IndoleProductionexport,28118
Isobutyrate2-MethylpropanoicacidProductionexport,28118
Isovalerate3-MethylbutanoicacidProductionexport,28118
L-LysineLysineD-LysineConsumptionimport,28118
L-TryptophanTryptophanConsumptionimport,28118
LactoseConsumptionimport,28118
PropanoatePropionateProductionexport,28118
SuccinateProductionexport,28118
2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateConsumptionimport,28123
CO2Productionexport,28123
H2HydrogenProductionexport,28123
PropanoatePropionateProductionexport,28123
AcetateProductionexport,29466
CO2Productionexport,29466
H2HydrogenProductionexport,29466
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimport,29466
L-MalateS-MalateL-MalicacidMalateD-MalateR-MalateConsumptionimport,29466
OxaloacetateConsumptionimport,29466
PolypeptideMacromoleculedegradation,29466
PropanoatePropionateProductionexport,29466
PyruvateConsumptionimport,29466
SuccinateConsumptionimport,29466
D-MannoseMannoseConsumptionimport,328814
IndoleProductionexport,328814
RaffinoseConsumptionimport,328814
SuccinateProductionexport,328814
AcetateProductionexport,329854
ButyrateProductionexport,329854
ChenodeoxycholicacidChenodeoxycholateConsumptionimport,329854
CholicacidCholateConsumptionimport,329854
CO2Consumptionimportproductionexport,329854
D-FructoseFructoseConsumptionimport,329854
H2HydrogenProductionexport,329854
HemicelluloseMacromoleculedegradation,329854
NH3AmmoniaNH4AmmoniumConsumptionimport,329854
PropanoatePropionateProductionexport,329854
SuccinateProductionexport,329854
AcetateProductionexport,341694
CO2Productionexport,341694
NH3AmmoniaNH4AmmoniumProductionexport,341694
AcetateProductionexport,35833
ButanolConsumptionimport,35833
DeoxycholicacidProductionexport,35833
EthanolConsumptionimport,35833
FormateConsumptionimport,35833
GlycerolConsumptionimport,35833
H2HydrogenConsumptionimport,35833
H2SHS-Productionexport,35833
IsethionateConsumptionimport,35833
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimport,35833
L-MalateS-MalateL-MalicacidMalateD-MalateR-MalateConsumptionimport,35833
NH3AmmoniaNH4AmmoniumProductionexport,35833
NitrateConsumptionimport,35833
Propanoln-propanol1-PropanolConsumptionimport,35833
PyruvateConsumptionimport,35833
SuccinateConsumptionimport,35833
SulfateSulfuricacidConsumptionimport,35833
TaurineConsumptionimport,35833
TaurochenodeoxycholateConsumptionimport,35833
TaurocholateConsumptionimport,35833
TaurodeoxycholateConsumptionimport,35833
TaurolithocholateConsumptionimport,35833
ThiosulfateConsumptionimport,35833
AcetateConsumptionimport,360807
ButyrateProductionexport,360807
FormateProductionexport,360807
FOSFructooligosaccharideConsumptionimport,360807
L-FucoseConsumptionimport,360807
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,360807
LinoleicacidOmega-6fattyacidConsumptionimport,360807
PropanoatePropionateProductionexport,360807
Propanoln-propanol1-PropanolProductionexport,360807
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,360807
XOSXylooligosaccharideConsumptionimport,360807
AcetateProductionexport,371601
ButyrateProductionexport,371601
CellobioseConsumptionimport,371601
CO2Consumptionimportproductionexport,371601
D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport,371601
D-FructoseFructoseConsumptionimport,371601
D-GalactoseConsumptionimport,371601
D-GlucoseGlucoseConsumptionimport,371601
D-MannitolMannitolConsumptionimport,371601
D-MannoseMannoseConsumptionimport,371601
D-PsicoseConsumptionimport,371601
D-SorbitolD-GlucitolSorbitolGlucitolL-SorbitolSorbitolConsumptionimport,371601
D-XyloseXyloseConsumptionimport,371601
GlycerolConsumptionimport,371601
H2HydrogenProductionexport,371601
L-RhamnoseRhamnoseD-RhamnoseConsumptionimport,371601
LactoseConsumptionimport,371601
